ent,año,categoria,porcentaje,value,cve_ent,nom_ent
11,2016,ic_ali_nc,0.210757452839425,1252709,11,Guanajuato
11,2016,carencias,0.707078687488621,4202764,11,Guanajuato
11,2016,carencias3,0.156236824599306,928647,11,Guanajuato
11,2016,plp_e,0.109067333889427,648279,11,Guanajuato
11,2016,plp,0.469040563325878,2787903,11,Guanajuato
12,2016,pobreza,0.66828158149617,2318349,12,Guerrero
12,2016,pobreza_m,0.436080331611471,1512815,12,Guerrero
12,2016,pobreza_e,0.232201249884697,805534,12,Guerrero
12,2016,vul_car,0.206426413614981,716118,12,Guerrero
12,2016,vul_ing,0.033520028133936,116285,12,Guerrero
12,2016,no_pobv,0.0917719767549121,318368,12,Guerrero
12,2016,ic_rezedu,0.260112362789411,902361,12,Guerrero
12,2016,ic_asalud,0.133221105064108,462160,12,Guerrero
12,2016,ic_segsoc,0.752694919749098,2611189,12,Guerrero
12,2016,ic_cv,0.316500149893923,1097977,12,Guerrero
12,2016,ic_sbv,0.502140312240574,1741985,12,Guerrero
12,2016,ic_ali_nc,0.303775885527167,1053835,12,Guerrero
12,2016,carencias,0.874707995111134,3034467,12,Guerrero
12,2016,carencias3,0.438673496448673,1521811,12,Guerrero
12,2016,plp_e,0.33788309427175,1172157,12,Guerrero
12,2016,plp,0.7018016096301,2434634,12,Guerrero
13,2016,pobreza,0.5690224359628,1673998,13,Hidalgo
13,2016,pobreza_m,0.473901078356589,1394162,13,Hidalgo
13,2016,pobreza_e,0.0951213576062139,279836,13,Hidalgo
13,2016,vul_car,0.240385752803306,707187,13,Hidalgo
13,2016,vul_ing,0.0563220711625612,165693,13,Hidalgo
13,2016,no_pobv,0.134269740071329,395006,13,Hidalgo
13,2016,ic_rezedu,0.199204319408922,586036,13,Hidalgo
13,2016,ic_asalud,0.144325201129616,424588,13,Hidalgo
13,2016,ic_segsoc,0.72022350303411,2118814,13,Hidalgo
13,2016,ic_cv,0.112240319468748,330198,13,Hidalgo
13,2016,ic_sbv,0.280483526882774,825150,13,Hidalgo
13,2016,ic_ali_nc,0.276594522421687,813709,13,Hidalgo
13,2016,carencias,0.8094081887661,2381185,13,Hidalgo
13,2016,carencias3,0.259050322854333,762096,13,Hidalgo
13,2016,plp_e,0.192603107396483,566616,13,Hidalgo
13,2016,plp,0.625344507125371,1839691,13,Hidalgo
14,2016,pobreza,0.304683992930529,2426450,14,Jalisco
14,2016,pobreza_m,0.289951876139918,2309126,14,Jalisco
14,2016,pobreza_e,0.0147321167906125,117324,14,Jalisco
14,2016,vul_car,0.316203206373817,2518187,14,Jalisco
14,2016,vul_ing,0.0796190272890226,634072,14,Jalisco
14,2016,no_pobv,0.299493773406621,2385116,14,Jalisco
14,2016,ic_rezedu,0.179314462585506,1428029,14,Jalisco
14,2016,ic_asalud,0.175825184506189,1400241,14,Jalisco
14,2016,ic_segsoc,0.469515841947801,3739142,14,Jalisco
14,2016,ic_cv,0.0605939984869081,482560,14,Jalisco
14,2016,ic_sbv,0.0485259281814957,386452,14,Jalisco
14,2016,ic_ali_nc,0.159538161624597,1270534,14,Jalisco
14,2016,carencias,0.620887199304357,4944637,14,Jalisco
14,2016,carencias3,0.105846499640563,842943,14,Jalisco
14,2016,plp_e,0.0545295759261412,434264,14,Jalisco
14,2016,plp,0.384303020219552,3060522,14,Jalisco
15,2016,pobreza,0.466453891393953,7695776,15,México
15,2016,pobreza_m,0.409689237263275,6759246,15,México
15,2016,pobreza_e,0.0567646541306764,936530,15,México
15,2016,vul_car,0.208446528166159,3439049,15,México
15,2016,vul_ing,0.100276686245653,1654412,15,México
15,2016,no_pobv,0.224822894194256,3709234,15,México
15,2016,ic_rezedu,0.147610527060359,2435348,15,México
15,2016,ic_asalud,0.155211837509065,2560758,15,México
15,2016,ic_segsoc,0.529749696199122,8740060,15,México
15,2016,ic_cv,0.126453778656217,2086294,15,México
15,2016,ic_sbv,0.117019146804574,1930637,15,México
15,2016,ic_ali_nc,0.241816771990569,3989607,15,México
15,2016,carencias,0.674900419560036,11134825,15,México
15,2016,carencias3,0.166306138308213,2743797,15,México
15,2016,plp_e,0.1376357845524,2270780,15,México
15,2016,plp,0.566730577639554,9350188,15,México
16,2016,pobreza,0.541625036539003,2429152,16,Michoacán
16,2016,pobreza_m,0.458538845507839,2056516,16,Michoacán
16,2016,pobreza_e,0.0830861910311702,372636,16,Michoacán
16,2016,vul_car,0.278262573822173,1247989,16,Michoacán
16,2016,vul_ing,0.0495670726853667,222305,16,Michoacán
16,2016,no_pobv,0.130545316953454,585487,16,Michoacán
16,2016,ic_rezedu,0.284280055019774,1274977,16,Michoacán
16,2016,ic_asalud,0.227777538705708,1021567,16,Michoacán
16,2016,ic_segsoc,0.699435643743141,3136922,16,Michoacán
16,2016,ic_cv,0.148115256125343,664287,16,Michoacán
16,2016,ic_sbv,0.244732530006581,1097609,16,Michoacán
16,2016,ic_ali_nc,0.277720313770575,1245557,16,Michoacán
16,2016,carencias,0.819887610361165,3677141,16,Michoacán
16,2016,carencias3,0.307251635643164,1378003,16,Michoacán
16,2016,plp_e,0.169956162109891,762242,16,Michoacán
16,2016,plp,0.591192109224358,2651457,16,Michoacán
17,2016,pobreza,0.466933816478834,894542,17,Morelos
17,2016,pobreza_m,0.415947768505663,796864,17,Morelos
17,2016,pobreza_e,0.0509860479731745,97678,17,Morelos
17,2016,vul_car,0.263466715106491,504744,17,Morelos
17,2016,vul_ing,0.0705462373269568,135151,17,Morelos
17,2016,no_pobv,0.19905323108772,381342,17,Morelos
17,2016,ic_rezedu,0.174798867719085,334876,17,Morelos
17,2016,ic_asalud,0.150448981850203,288227,17,Morelos
17,2016,ic_segsoc,0.618753520108517,1185395,17,Morelos
17,2016,ic_cv,0.109156640718997,209120,17,Morelos
17,2016,ic_sbv,0.169717905875365,325142,17,Morelos
17,2016,ic_ali_nc,0.215643349258969,413125,17,Morelos
17,2016,carencias,0.730400531585309,1399286,17,Morelos
17,2016,carencias3,0.188493035992148,361111,17,Morelos
17,2016,plp_e,0.121235278181878,232260,17,Morelos
17,2016,plp,0.537480053805792,1029693,17,Morelos
18,2016,pobreza,0.381043460590817,450039,18,Nayarit
18,2016,pobreza_m,0.303536623570154,358498,18,Nayarit
18,2016,pobreza_e,0.0775068370206684,91541,18,Nayarit
18,2016,vul_car,0.295329658699313,348805,18,Nayarit
18,2016,vul_ing,0.0643213357379326,75968,18,Nayarit
18,2016,no_pobv,0.259305544971935,306258,18,Nayarit
18,2016,ic_rezedu,0.176796464223121,208809,18,Nayarit
18,2016,ic_asalud,0.150484729948268,177733,18,Nayarit
18,2016,ic_segsoc,0.562647429872904,664526,18,Nayarit
18,2016,ic_cv,0.0966682753774121,114172,18,Nayarit
18,2016,ic_sbv,0.18204340132253,215006,18,Nayarit
18,2016,ic_ali_nc,0.207146062468781,244654,18,Nayarit
18,2016,carencias,0.67637311929013,798844,18,Nayarit
18,2016,carencias3,0.184856951747146,218329,18,Nayarit
18,2016,plp_e,0.149073297941697,176066,18,Nayarit
18,2016,plp,0.445364796328748,526007,18,Nayarit
19,2016,pobreza,0.188403397485363,997924,19,Nuevo León
19,2016,pobreza_m,0.17577544380592,931037,19,Nuevo León
